EPIC,CAMPAIGN,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
202059183,C0,"13,3","5,94","0,12","0,45","0,02","0,47","0,02",3503,84,"-1,53","0,05",41,"2,2",M2.5
202059188,C0,"14,7","7,33","0,09","0,27","0,01","0,27","0,01",3179,81,"-2,14","0,04","22,1","0,9",M4.5
202059190,C0,"12,9","4,4","0,04","0,73","0,02","0,73","0,01",4069,81,"-0,83","0,02","90,7",2,K7.0
202059192,C0,"13,1","5,26","0,05","0,56","0,02","0,59","0,01",3713,81,"-1,23","0,03","60,1","1,5",M1.0
202059193,C0,"12,5","4,93","0,06","0,63","0,02","0,65","0,02",3834,82,"-1,08","0,03","57,1","1,7",M0.0
202059195,C0,"14,7",7,"0,1","0,31","0,02","0,31","0,01",3312,82,"-1,99","0,04",26,"1,2",M4.0
202059197,C0,"12,3","4,64","0,04","0,68","0,02","0,69","0,01",3964,81,"-0,95","0,02","64,1","1,4",M0.0
202059198,C0,"11,6","5,31","0,1","0,56","0,02","0,58","0,02",3727,99,"-1,25","0,04","29,3","1,4",M1.0
202059199,C0,"12,6","5,93","0,05","0,46","0,02","0,48","0,01",3539,84,"-1,53","0,03","28,8","0,8",M2.5
202059203,C0,"14,1","6,54","0,06","0,37","0,01","0,38","0,01",3418,80,"-1,79","0,03","28,5","0,9",M3.0
202059204,C0,"11,8","5,39","0,09","0,54","0,02","0,57","0,02",3726,94,"-1,29","0,04","29,6","1,3",M1.5
202059207,C0,"12,3","4,52","0,05","0,7","0,02","0,72","0,02",4019,82,"-0,89","0,02","69,4","1,7",K7.0
202059208,C0,"12,2","5,1","0,07","0,59","0,02","0,62","0,02",3812,83,"-1,16","0,03","43,8","1,5",M0.5
202059210,C0,"11,9","4,81","0,07","0,65","0,02","0,67","0,02",3926,84,"-1,02","0,03","46,4","1,6",M0.0
