EPIC,CAMPAIGN,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day
212557255,C6,8.484,0.054,LS,Y,0.559,0.094,2437.19,74.97,12,0.153
229149393,C10,8.389,0.083,LS,Y,0.199,0.028,559.01,74.27,0,---
201460770,C1,20.268,0.32,ACF,Y,0.366,0.329,2576.88,76.49,2,0.025
212578572,C6,18.971,0.717,LS,Y,0.347,0.022,1308.92,69.38,0,---
246338131,C12,17.373,0.637,SINE,?,0.324,0.965,965.5,97.88,1,0.013
211427097,C18,16.694,0.013,LS,Y,0.301,0.065,834.89,82.35,0,---
248857979,C14,16.236,0.478,LS,Y,0.625,0.174,1834.36,50.3,1,0.013
212712577,C6,13.459,0.153,LS,Y,0.235,0.168,1607.63,51.95,0,---
202748218,C2,120.61,---,SINE,?,1.134,0.243,2787.07,163.95,0,---
236285338,C11,119.276,---,SINE,?,0.472,0.102,1591.39,171.89,0,---
205913009,C3,116.4,---,SINE,?,2.41,0.341,8886.18,143.33,1,0.015
201518346,C1,112.83,---,SINE,?,1.142,0.091,4012.55,83.05,6,0.075
248425357,C14,108.485,---,SINE,?,0.849,0.126,3072.95,113.42,2,0.026
247730793,C13,108.067,---,SINE,?,0.21,0.314,642.34,73.17,1,0.013
246807434,C13,107.122,---,SINE,?,0.99,0.046,3360.5,79.69,0,---
246215873,C12,106.314,---,SINE,?,0.808,0.056,2656.73,78.68,2,0.025
246132735,C12,105.297,---,SINE,?,4.717,0.66,16602.57,124.3,5,0.064
211945363,C16,98.692,---,SINE,?,4.109,0.138,15959.69,89.61,10,0.128
248759329,C14,97.473,---,SINE,?,0.887,0.217,3014.7,83.39,4,0.051
231875643,C11,96.314,---,SINE,?,5.415,1.7,8088.91,159.1,1,0.014
211183696,C4,94.86,---,SINE,?,2.797,0.123,10401.35,137.25,3,0.044
246043232,C12,90.667,---,SINE,?,1.269,0.652,4310.94,104.97,3,0.038
223636719,C11,88.533,---,SINE,?,0.658,0.097,2372.17,106.74,0,---
248042336,C13,87.64,---,SINE,?,1.07,0.393,3234.05,79.1,0,---
211480655,C16,87.141,---,SINE,?,0.809,0.122,2744.72,104.02,1,0.013
