angDist_1,_RAJ2000_1,_DEJ2000_1,KIC_1,Kpmag_1,Q_1,Teff_1,E_Teff_1,e_Teff_1a,logg_1,E_logg_1,e_logg_1a,Mass_1,E_Mass_1,e_Mass_1a,Prot_1,E_Prot_1,Sph_1,E_Sph_1,Fl1_1,DMK_1,Fl2_1,Fl3_1,Fl4_1,Fl5_1,M17_1,Simbad_1,_RA_1,_DE_1,_RAJ2000_1a,_DEJ2000_1a,LAMOST,rmag,imag,zmag,SpT_1,Var,K,m_LAMOST,EWHa,ActHa,EWHb,ActHb,EWHg,ActHg,EWHd,ActHd,EWCaH,ActCaH,EWCaK,ActCaK,EWCa84,ActCa84,EWCa85,ActCa85,EWCa86,ActCa86,EWHeI,ActHeI,_RA_1a,_DE_1a,angDist_2,_RAJ2000_2,_DEJ2000_2,KIC_2,Kpmag_2,Q_2,Teff_2,E_Teff_2,e_Teff_2a,logg_2,E_logg_2,e_logg_2a,Mass_2,E_Mass_2,e_Mass_2a,Prot_2,E_Prot_2,Sph_2,E_Sph_2,Fl1_2,DMK_2,Fl2_2,Fl3_2,Fl4_2,Fl5_2,M17_2,Simbad_2,_RA_2,_DE_2,_RAJ2000_2a,_DEJ2000_2a,OT,Name,RAJ2000,DEJ2000,CaH2,CaH3,TiO5,SNR,SpT_2,Gmag,Ksmag,W2mag,E(B-V),Dist,RVel,[M/H],Cl,MCat,Gaia,WISEA,2M,Separation
0.075879,288.15128,46.0590589,9456920,13.367," 0-17",4074,146,178,4.615,0.064,0.016,0.66,0.038,0.062,1.75,0.12,10397.6,1015.3,1,,,,,0,M17,Simbad,288.15128,46.05906,288.15125,46.0590556,J191236.30+460332.6,,,,M0,,1,1,1.01,Y,1.986,Y,2.223,Y,2.458,N,,N,,N,-0.393,N,-0.964,N,-0.85,N,-0.124,N,288.15125,46.05906,3.6E-5,288.15128,46.0590589,9456920,13.367," 0-17",4074,146,178,4.615,0.064,0.016,0.66,0.038,0.062,1.75,0.12,10397.6,1015.3,1,,,,,0,M17,Simbad,288.15128,46.05906,288.15128,46.05905889,D,J191236.30+460332.6,288.15128,46.059059,0.709,0.86,0.713,11.5,dMs0.5,,,,,,-3,,u,0,Gaia,WISEA,2M,0.0
0.081377,291.84061,36.9974519,1296779,12.889," 0-17",3703,115,141,4.794,0.117,0.054,0.461,0.071,0.106,32.38,2.83,1300.4,31.1,,,0,0,,0,M17,Simbad,291.84061,36.99745,291.8405833,36.9974444,J192721.74+365950.8,,,,M0,,0,1,-0.184,N,0.001,N,0.231,N,-0.415,N,-1.342,N,-1.686,N,-0.409,N,-1.337,N,-1.063,N,-0.327,N,291.84058,36.99744,1.44E-4,291.84061,36.9974519,1296779,12.889," 0-17",3703,115,141,4.794,0.117,0.054,0.461,0.071,0.106,32.38,2.83,1300.4,31.1,,,0,0,,0,M17,Simbad,291.84061,36.99745,291.84061,36.99745194,D,J192721.74+365950.8,291.84061,36.997452,0.67,0.848,0.69,277.3,dMs1.0,12.748,9.628,9.493,0.02,77,-22,,m,0,Gaia,WISEA,2M,0.0
0.113017,291.29581,37.1558611,1572802,15.329," 1-17",3876,77,85,4.719,0.032,0.022,0.544,0.03,0.03,0.37,,21084.8,2256.0,1,,0,0,,1,M17,Simbad,291.29581,37.15586,291.2957917,37.1558333,J192510.99+370921.0,,,,M0,,1,1,1.431,Y,1.561,Y,2.575,Y,-1.154,N,-80.02,N,-49.74,N,0.223,N,-0.797,N,-0.671,N,-0.11,N,291.29579,37.15583,0.057384,291.29581,37.1558611,1572802,15.329," 1-17",3876,77,85,4.719,0.032,0.022,0.544,0.03,0.03,0.37,,21084.8,2256.0,1,,0,0,,1,M17,Simbad,291.29581,37.15586,291.29583,37.15586111,D,J192510.99+370921.0,291.29583,37.155861,0.798,0.886,0.823,52.8,dKs7.5,15.076,12.255,12.209,0.08,298,-9,,m,1,Gaia,WISEA,2M,0.0
0.012337,291.62067,37.22728,1721911,15.184," 1-17",3705,74,81,4.798,0.052,0.032,0.464,0.034,0.043,29.18,2.24,1227.0,35.9,,,0,0,,0,M17,Simbad,291.62067,37.22728,291.6206667,37.2272778,J192628.96+371338.2,,,,M0,,1,1,-0.003,N,-0.277,N,1.388,N,-6.037,N,15.307,N,15.401,N,-0.236,N,-1.224,N,-1.095,N,-0.979,N,291.62067,37.22728,0.006984,291.62067,37.22728,1721911,15.184," 1-17",3705,74,81,4.798,0.052,0.032,0.464,0.034,0.043,29.18,2.24,1227.0,35.9,,,0,0,,0,M17,Simbad,291.62067,37.22728,291.62067,37.22727806,D,J192628.96+371338.2,291.62067,37.227278,0.69,0.853,0.725,48.9,dMs0.5,15.103,12.012,11.979,0.03,258,4,,m,1,Gaia,WISEA,2M,0.0
0.137176,291.02719,37.3520889,1866535,15.268," 1-17",3755,55,61,4.774,0.039,0.024,0.485,0.026,0.031,24.54,2.13,382.5,17.7,,,,,,0,M17,Simbad,291.02719,37.35209,291.0271667,37.3520556,J192406.52+372107.4,,,,M0,,1,1,0.023,N,-0.517,N,-0.192,N,0.595,N,1.348,N,9.124,N,-0.328,N,-1.338,N,-0.988,N,-0.45,N,291.02717,37.35206,0.060974,291.02719,37.3520889,1866535,15.268," 1-17",3755,55,61,4.774,0.039,0.024,0.485,0.026,0.031,24.54,2.13,382.5,17.7,,,,,,0,M17,Simbad,291.02719,37.35209,291.02717,37.35208306,D,J192406.52+372107.4,291.02717,37.352083,0.711,0.865,0.728,68.7,dMs0.5,15.116,12.109,11.609,0.04,288,-50,,m,1,Gaia,WISEA,2M,0.0
0.02412,295.4975,46.0179789,9474589,13.693," 1-17",3407,102,102,4.984,0.105,0.095,0.26,0.112,0.084,22.42,1.72,1326.3,39.1,,,0,0,,0,M17,Simbad,295.4975,46.01798,295.4975,46.0179722,J194159.40+460104.7,,,,M0,,1,1,0.158,N,-0.328,N,-0.355,N,0.844,N,-0.009,N,0.728,N,-0.479,N,-1.378,N,-1.12,N,-0.149,N,295.4975,46.01797,3.6E-5,295.4975,46.0179789,9474589,13.693," 1-17",3407,102,102,4.984,0.105,0.095,0.26,0.112,0.084,22.42,1.72,1326.3,39.1,,,0,0,,0,M17,Simbad,295.4975,46.01798,295.4975,46.01797889,D,J194159.40+460104.7,295.4975,46.017979,0.715,0.854,0.782,60.9,dMp0.0,13.598,10.574,10.391,0.02,135,-13,,m,0,Gaia,WISEA,2M,0.0
0.105985,292.58456,37.39547,1873543,14.444," 1-17",3850,120,147,4.662,0.06,0.02,0.603,0.04,0.06,11.37,0.75,3809.0,151.4,,,,,,0,M17,Simbad,292.58456,37.39547,292.5845417,37.3954444,J193020.29+372343.6,,,,M1,,1,1,0.568,N,0.88,N,0.11,N,-0.155,N,-0.952,N,-2.949,N,-0.372,N,-1.019,N,-0.978,N,-0.402,N,292.58454,37.39544,0.057626,292.58456,37.39547,1873543,14.444," 1-17",3850,120,147,4.662,0.06,0.02,0.603,0.04,0.06,11.37,0.75,3809.0,151.4,,,,,,0,M17,Simbad,292.58456,37.39547,292.58458,37.39547194,D,J193020.29+372343.6,292.58458,37.395472,0.608,0.805,0.665,99.3,dMs1.5,14.38,11.103,10.895,0.02,153,7,,m,1,Gaia,WISEA,2M,0.0
0.098254,297.73245,46.0232089,9481758,14.776," 1-17",3737,89,100,4.779,0.071,0.038,0.476,0.047,0.058,17.47,1.39,1157.7,44.0,,,,,,0,M17,Simbad,297.73245,46.02321,297.7324167,46.0231944,J195055.78+460123.5,,,,M0,,0,1,-0.318,N,-0.094,N,0.042,N,-0.76,N,-1.229,N,-2.834,N,-0.555,N,-1.509,N,-1.252,N,-0.15,N,297.73242,46.02319,3.6E-5,297.73245,46.0232089,9481758,14.776," 1-17",3737,89,100,4.779,0.071,0.038,0.476,0.047,0.058,17.47,1.39,1157.7,44.0,,,,,,0,M17,Simbad,297.73245,46.02321,297.73245,46.02320889,D,J195055.78+460123.5,297.73245,46.023209,0.724,0.86,0.764,115.5,dMp0.0,,,,,,-21,,u,0,Gaia,WISEA,2M,0.0
0.097223,287.9996,46.12183,9518295,13.183," 0-17",3828,120,147,4.708,0.084,0.03,0.542,0.056,0.084,17.96,1.64,477.4,17.3,,,0,0,,0,M17,Simbad,287.9996,46.12183,287.9995833,46.1218056,J191159.90+460718.5,,,,M3,,1,2,-0.26,N,-1.384,N,-1.756,N,-2.768,N,-1.969,N,-5.65,N,-0.129,N,-1.595,N,-1.093,N,-0.022,N,287.99958,46.12181,0.0,287.9996,46.12183,9518295,13.183," 0-17",3828,120,147,4.708,0.084,0.03,0.542,0.056,0.084,17.96,1.64,477.4,17.3,,,0,0,,0,M17,Simbad,287.9996,46.12183,287.9996,46.12183,D,J191159.90+460718.5,287.9996,46.12183,0.72,0.85,0.744,19.3,dMs0.5,13.124,9.961,9.816,0.0,84,-11,,m,0,Gaia,WISEA,2M,0.0
0.065037,286.57422,37.5170711,2142372,15.542," 1-17",3705,66,81,4.798,0.065,0.04,0.464,0.042,0.052,18.47,1.5,1233.2,47.7,,,0,0,,0,M17,Simbad,286.57422,37.51707,286.5742083,37.5170556,J190617.81+373101.4,,,,M0,,1,1,-0.178,N,0.01,N,0.014,N,-0.252,N,-1.831,N,-2.44,N,-0.397,N,-1.34,N,-1.127,N,-0.192,N,286.57421,37.51706,3.6E-5,286.57422,37.5170711,2142372,15.542," 1-17",3705,66,81,4.798,0.065,0.04,0.464,0.042,0.052,18.47,1.5,1233.2,47.7,,,0,0,,0,M17,Simbad,286.57422,37.51707,286.57422,37.51707111,D,J190617.81+373101.4,286.57422,37.517071,0.725,0.871,0.774,94.2,dMp0.0,15.446,12.411,12.279,0.03,259,-6,,m,0,Gaia,WISEA,2M,0.0
