angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,OT,Name,RAJ2000,DEJ2000,CaH2,CaH3,TiO5,SNR,SpT,Gmag,Ksmag,W2mag,E(B-V),Dist,RVel,[M/H],Cl,MCat,Gaia,WISEA,2M
0.000144,291.84061,36.9974519,1296779,12.889," 0-17",3703,115,141,4.794,0.117,0.054,0.461,0.071,0.106,32.38,2.83,1300.4,31.1,,,0,0,,0,M17,Simbad,291.84061,36.99745,291.84061,36.99745194,D,J192721.74+365950.8,291.84061,36.997452,0.67,0.848,0.69,277.3,dMs1.0,12.748,9.628,9.493,0.02,77,-22,,m,0,Gaia,WISEA,2M
0.000036,288.15128,46.0590589,9456920,13.367," 0-17",4074,146,178,4.615,0.064,0.016,0.66,0.038,0.062,1.75,0.12,10397.6,1015.3,1,,,,,0,M17,Simbad,288.15128,46.05906,288.15128,46.05905889,D,J191236.30+460332.6,288.15128,46.059059,0.709,0.86,0.713,11.5,dMs0.5,,,,,,-3,,u,0,Gaia,WISEA,2M
0.093427,292.02982,37.0216289,1435229,14.586," 1-17",3927,70,78,4.774,0.054,0.027,0.467,0.034,0.034,23.54,1.7,1439.9,43.2,,,,,,0,M17,Simbad,292.02982,37.02163,292.02979,37.02163889,D,J192807.15+370117.9,292.02979,37.021639,0.845,0.905,0.884,64.1,dKs7.0,14.527,11.794,11.71,0.03,268,29,,m,0,Gaia,WISEA,2M
0.000036,290.86166,37.1550711,1570915,13.863," 1-17",4078,73,89,4.713,0.045,0.017,0.515,0.031,0.028,12.18,0.97,2545.5,98.2,,,0,0,,0,M17,Simbad,290.86166,37.15507,290.86166,37.15507111,D,J192326.79+370918.2,290.86166,37.155071,0.879,0.937,0.914,143.8,dKs7.0,13.758,11.119,11.09,0.03,253,-25,,m,0,Gaia,WISEA,2M
0.057384,291.29581,37.1558611,1572802,15.329," 1-17",3876,77,85,4.719,0.032,0.022,0.544,0.03,0.03,0.37,,21084.8,2256.0,1,,0,0,,1,M17,Simbad,291.29581,37.15586,291.29583,37.15586111,D,J192510.99+370921.0,291.29583,37.155861,0.798,0.886,0.823,52.8,dKs7.5,15.076,12.255,12.209,0.08,298,-9,,m,1,Gaia,WISEA,2M
0.000036,292.8403,46.0965389,9467342,13.157," 0-17",4201,115,140,4.675,0.063,0.027,0.552,0.061,0.046,13.35,0.99,317.4,14.4,,,0,0,,0,M17,Simbad,292.8403,46.09654,292.8403,46.09653889,D,J193121.67+460547.5,292.8403,46.096539,0.877,0.931,0.899,151.3,dKs7.0,13.092,10.46,10.458,0.01,146,-16,,m,0,Gaia,WISEA,2M
0.006984,291.62067,37.22728,1721911,15.184," 1-17",3705,74,81,4.798,0.052,0.032,0.464,0.034,0.043,29.18,2.24,1227.0,35.9,,,0,0,,0,M17,Simbad,291.62067,37.22728,291.62067,37.22727806,D,J192628.96+371338.2,291.62067,37.227278,0.69,0.853,0.725,48.9,dMs0.5,15.103,12.012,11.979,0.03,258,4,,m,1,Gaia,WISEA,2M
0.060974,291.02719,37.3520889,1866535,15.268," 1-17",3755,55,61,4.774,0.039,0.024,0.485,0.026,0.031,24.54,2.13,382.5,17.7,,,,,,0,M17,Simbad,291.02719,37.35209,291.02717,37.35208306,D,J192406.52+372107.4,291.02717,37.352083,0.711,0.865,0.728,68.7,dMs0.5,15.116,12.109,11.609,0.04,288,-50,,m,1,Gaia,WISEA,2M
0.071603,292.05914,37.31171,1871120,14.11," 1-17",4074,128,142,4.687,0.031,0.045,0.654,0.033,0.065,37.71,3.3,1459.1,33.5,,,0,0,,0,M17,Simbad,292.05914,37.31171,292.05912,37.31172194,D,J192814.19+371842.1,292.05912,37.311722,0.78,0.899,0.807,120.9,dKs7.5,14.035,11.172,11.151,0.03,256,,,m,1,Gaia,WISEA,2M
0.057626,292.58456,37.39547,1873543,14.444," 1-17",3850,120,147,4.662,0.06,0.02,0.603,0.04,0.06,11.37,0.75,3809.0,151.4,,,,,,0,M17,Simbad,292.58456,37.39547,292.58458,37.39547194,D,J193020.29+372343.6,292.58458,37.395472,0.608,0.805,0.665,99.3,dMs1.5,14.38,11.103,10.895,0.02,153,7,,m,1,Gaia,WISEA,2M
