angDist,_RAJ2000,_DEJ2000,KIC,Kpmag,Q,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,E_Sph,Fl1,DMK,Fl2,Fl3,Fl4,Fl5,M17,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Date,FNum,Per,r_Per,Amp,Ha,HaLum,FLum,PCat,Simbad,_RA,_DE
0.000000,291.29581,37.1558611,1572802,15.329, 1-17,3876,77,85,4.719,0.032,0.022,0.544,0.03,0.03,0.37,,21084.8,2256.0,1,,0,0,,1,M17,Simbad,291.29581,37.15586,291.29581,37.1558611,1572802,1415.23,35,0.371,Mc2014,31844,emission,1.812832E-4,1.916E-5,1,Simbad,291.29581,37.15586
0.000000,292.4404,37.3465119,1872885,15.61, 2-17,3847,120,147,4.648,0.067,0.018,0.612,0.035,0.06,1.85,0.13,14371.1,1388.4,1,,0,0,,2,M17,Simbad,292.4404,37.34651,292.4404,37.3465119,1872885,1381.76,510,1.872,Mc2014,31157,no data,,6.392E-5,2,Simbad,292.4404,37.34651
0.000000,292.58456,37.39547,1873543,14.444, 1-17,3850,120,147,4.662,0.06,0.02,0.603,0.04,0.06,11.37,0.75,3809.0,151.4,,,,,,0,M17,Simbad,292.58456,37.39547,292.58456,37.39547,1873543,1415.23,312,11.548,Mc2014,6865,emission,7.165889E-5,7.488E-6,2,Simbad,292.58456,37.39547
0.000000,295.4975,46.0179789,9474589,13.693, 1-17,3407,102,102,4.984,0.105,0.095,0.26,0.112,0.084,22.42,1.72,1326.3,39.1,,,0,0,,0,M17,Simbad,295.4975,46.01798,295.4975,46.0179789,9474589,1010.14,139,22.895,Mc2014,1993,absorption,,1.897E-6,2,Simbad,295.4975,46.01798
0.000000,299.51331,46.01709,9488191,15.691, 1-17,3769,56,56,4.766,0.036,0.024,0.489,0.026,0.026,15.98,2.27,1202.0,51.6,,,,,,0,M17,Simbad,299.51331,46.01709,299.51331,46.01709,9488191,1010.14,35,15.504,Mc2014,2791,no data,,1.036E-6,2,Simbad,299.51331,46.01709
0.000000,290.80032,37.5178911,2157356,15.984, 1-17,3651,51,58,4.855,0.038,0.031,0.421,0.028,0.042,13.52,0.95,3482.3,139.0,,,0,0,,0,M17,Simbad,290.80032,37.51789,290.80032,37.5178911,2157356,1415.23,41,13.607,Mc2014,7787,no data,,1.604E-6,2,Simbad,290.80032,37.51789
0.000000,286.03439,46.1950911,9515011,15.324, 1-17,3977,63,71,4.697,0.024,0.018,0.572,0.023,0.026,14.0,1.22,1780.2,71.7,,,0,0,,0,M17,Simbad,286.03439,46.19509,286.03439,46.1950911,9515011,928.67,53,14.182,Mc2014,3860,no data,,2.06E-6,1,Simbad,286.03439,46.19509
0.000000,286.23285,37.6433719,2283749,16.522,14-17,3694,117,147,4.686,0.075,0.02,0.567,0.036,0.072,1.6,0.11,15503.4,1647.9,,,0,0,,1,M17,Simbad,286.23285,37.64337,286.23285,37.6433719,2283749,312.39,91,1.621,This work,33773,no data,,5.529E-5,0,Simbad,286.23285,37.64337
0.000000,293.53601,46.1851689,9530511,15.669, 2-17,3247,42,29,5.083,0.055,0.05,0.177,0.041,0.027,46.43,4.61,1427.9,34.4,,,0,0,,0,M17,Simbad,293.53601,46.18517,293.53601,46.1851689,9530511,895.2,42,45.819,Mc2014,938,no data,,5.355E-6,1,Simbad,293.53601,46.18517
0.000000,290.79013,37.66103,2300039,15.427, 1-17,3408,54,47,4.923,0.055,0.035,0.322,0.05,0.05,1.69,0.11,2040.3,234.5,,,0,0,,0,M17,Simbad,290.79013,37.66103,290.79013,37.66103,2300039,1415.23,544,1.712,Mc2014,4325,no data,,2.41E-5,2,Simbad,290.79013,37.66103
0.000000,286.76575,37.7409711,2424688,15.818, 1-17,3958,78,86,4.723,0.033,0.03,0.553,0.035,0.043,10.9,0.73,8721.6,355.2,,,0,0,,2,M17,Simbad,286.76575,37.74097,286.76575,37.7409711,2424688,1415.23,41,11.095,Mc2014,18293,no data,,1.102E-6,2,Simbad,286.76575,37.74097
0.000000,291.03546,37.7880289,2441562,15.558, 1-17,3611,65,72,4.878,0.045,0.041,0.396,0.037,0.05,9.97,0.69,4635.1,202.8,,,0,0,,2,M17,Simbad,291.03546,37.78803,291.03546,37.7880289,2441562,1415.23,109,10.104,Mc2014,9339,no data,,2.993E-6,2,Simbad,291.03546,37.78803
0.000000,291.1416,37.7655489,2442004,15.89, 1-17,3972,59,59,4.688,0.028,0.016,0.568,0.023,0.023,8.74,0.64,12918.0,579.8,,,0,0,,2,M17,Simbad,291.1416,37.76555,291.1416,37.7655489,2442004,1415.23,82,8.865,Mc2014,24147,no data,,3.719E-6,2,Simbad,291.1416,37.76555
