,EPIC,CAMPAIGN_x,Prot,err_Prot,PMETHOD,PFLAG,Rper(%),err_Rper,SPH(ppm),Sflat(ppm),N_Flares,Nflare/day,CAMPAIGN_y,KP(mag),Abs_Mk,e_Abs_Mk,Radius(Rsun),e_Radius(Rsun),Mass(Msun),e_Mass(Sun),Teff(K),e_Teff(K),log(Luminosity(Lsun)),err_log(Luminosity(Lsun)),dist(pc),e_dist(pc),SpT
68,234698848,C11,51.059,0.445,ACF,?,0.382,0.104,1111.96,46.7,1,0.014,C11,"11,46","3,3","0,13","0,97","0,04",0.89,"0,02",4752,140,"-0,32","0,05","150,6",9,K5.0
6,211427097,C18,16.694,0.013,LS,Y,0.301,0.065,834.89,82.35,0,---,C18,"11,73","4,05","0,19","0,8","0,05",0.79,"0,03",4263,136,"-0,67","0,08","104,6","9,1",K6.0
7,211427097,C5,37.411,1.152,LS,?,0.507,0.14,2302.77,71.72,0,---,C18,"11,73","4,05","0,19","0,8","0,05",0.79,"0,03",4263,136,"-0,67","0,08","104,6","9,1",K6.0
8,211427097,C16,35.149,1.13,ACF,Y,0.387,0.098,1306.31,86.4,1,0.013,C18,"11,73","4,05","0,19","0,8","0,05",0.79,"0,03",4263,136,"-0,67","0,08","104,6","9,1",K6.0
137,220460555,C8,32.714,0.374,LS,Y,1.278,0.277,4295.59,58.63,0,---,C8,"11,63","4,03","0,06","0,81","0,03",0.79,"0,02",4247,87,"-0,66","0,03","100,4","2,9",K6.0
117,237853022,C11,37.062,0.934,LS,?,0.315,0.144,1062.86,136.73,0,---,C11,"11,09","4,14","0,05","0,78","0,03",0.78,"0,02",4186,91,"-0,71","0,03","71,5","1,9",K6.0
193,210500658,C4,23.783,2.378,ACF,Y,0.368,0.154,2377.19,63.04,0,---,C4,"11,4","4,13","0,06","0,78","0,03",0.78,"0,02",4142,88,"-0,71","0,03",84,"2,5",K6.0
217,248804846,C14,20.161,0.33,LS,Y,0.67,0.018,2198.63,46.19,0,---,C14,"11,13","4,09","0,05","0,79","0,03",0.78,"0,02",4180,84,"-0,69","0,02","76,3","1,9",K6.0
241,246001292,C12,17.641,0.483,LS,Y,0.832,0.258,2276.77,61.55,1,0.013,C19,"11,86","4,26","0,05","0,76","0,02",0.76,"0,02",4156,85,"-0,77","0,03","91,9","2,5",K7.0
242,246001292,C19,17.304,---,SINE,?,0.423,0.154,1449.13,101.81,2,0.277,C19,"11,86","4,26","0,05","0,76","0,02",0.76,"0,02",4156,85,"-0,77","0,03","91,9","2,5",K7.0
321,202571062,C2,3.988,0.017,LS,Y,5.277,3.784,17420.2,615.8,6,0.077,C2,"9,41","4,26","0,05","0,76","0,02",0.76,"0,02",4110,84,"-0,77","0,02","31,8","0,8",K7.0
95,250122612,C15,41.073,1.327,LS,?,0.447,0.066,1379.45,78.01,1,0.012,C15,"11,3","4,28","0,04","0,75","0,02",0.75,"0,02",4135,83,"-0,78","0,02","70,2","1,5",K7.0
170,220209255,C8,27.652,0.067,LS,Y,0.625,0.128,2920.02,71.75,0,---,C8,"11,73","4,32","0,06","0,74","0,02",0.75,"0,02",4168,86,"-0,8","0,03","83,5","2,5",K7.0
188,220350328,C8,24.895,0.263,LS,Y,0.655,0.095,3261.56,56.06,0,---,C8,"11,13","4,31","0,07","0,75","0,03",0.75,"0,02",4093,88,"-0,8","0,03","67,8","2,4",K7.0
287,210889984,C13,11.558,0.042,LS,Y,2.651,0.294,7902.54,83.84,4,0.05,C13,"11,11","4,29","0,07","0,75","0,03",0.75,"0,02",4132,87,"-0,79","0,03","53,5","1,9",K7.0
348,247282522,C13,1.46,0.041,LS,?,2.593,0.949,9392.35,250.91,5,0.063,C13,"10,53","4,32","0,05","0,74","0,02",0.75,"0,02",4101,84,"-0,8","0,03","52,3","1,4",K7.0
243,228782343,C10,17.469,1.214,LS,Y,0.649,0.024,1704.4,48.93,0,---,C10,"11,68","4,34","0,05","0,74","0,02",0.74,"0,02",4108,82,"-0,81","0,02","82,7","2,1",K7.0
126,205952383,C3,35.017,0.563,LS,?,0.885,0.028,2821.74,48.23,1,0.015,C3,"11,1","4,44","0,06","0,72","0,02",0.73,"0,02",4069,85,"-0,85","0,03",60,"1,8",K7.0
145,247969864,C13,31.495,0.226,LS,Y,1.003,0.04,3297.3,50.96,0,---,C13,"11,15","4,44","0,04","0,72","0,02",0.73,"0,01",4026,81,"-0,85","0,02","61,2","1,3",K7.0
247,220256064,C8,16.964,0.034,LS,Y,0.851,0.027,2432.81,61.06,1,0.013,C8,"11,95","4,45","0,13","0,72","0,03",0.73,"0,02",4072,100,"-0,86","0,05",84,"5,1",K7.0
266,211890761,C16,14.785,0.054,SINE,?,2.87,1.635,10181.54,62.57,2,0.026,C16,"11,64","4,43","0,04","0,72","0,02",0.73,"0,01",4039,81,"-0,85","0,02","76,5","1,7",K7.0
274,201497396,C14,13.59,0.173,LS,Y,0.707,0.073,2200.24,88.97,14,0.18,C14,"10,1","4,43","0,04","0,72","0,02",0.73,"0,01",4032,85,"-0,85","0,02","38,2","0,8",K7.0
367,201806997,C1,0.656,0,LS,Y,13.95,1.208,56945.06,10596.36,2,0.025,C1,"11,74","4,43","0,1","0,72","0,03",0.73,"0,02",4038,92,"-0,85","0,04","79,8","3,8",K7.0
161,247003390,C13,28.944,0.224,LS,?,0.845,0.097,2437.04,69.07,2,0.025,C13,"11,81","4,51","0,04","0,7","0,02",0.72,"0,01",4034,81,"-0,89","0,02","76,1","1,7",K7.0
249,250034723,C15,16.913,0.057,LS,Y,1.185,0.17,3640.67,54.17,1,0.012,C15,"11,06","4,51","0,04","0,71","0,02",0.72,"0,01",4027,85,"-0,89","0,02","54,7","1,2",K7.0
257,206007536,C3,16.095,0.503,LS,Y,0.555,0.026,3745.53,52.55,2,0.03,C3,"10,86","4,48","0,06","0,71","0,02",0.72,"0,02",4047,85,"-0,87","0,03",52,"1,5",K7.0
261,202059207,C0,15.16,0.371,ACF,Y,0.088,0.035,386.84,74.76,1,0.03,C0,"12,3","4,52","0,05","0,7","0,02",0.72,"0,02",4019,82,"-0,89","0,02","69,4","1,7",K7.0
269,205599283,C2,14.568,0.684,ACF,Y,0.503,0.025,1900.6,95.69,0,---,C2,"11,49","4,47","0,05","0,71","0,02",0.72,"0,02",4054,86,"-0,87","0,03","65,4","1,8",K7.0
296,251728337,C19,10.534,---,SINE,?,0.192,0.006,720.72,37.75,0,---,C19,"10,36","4,51","0,04","0,71","0,02",0.72,"0,01",4031,83,"-0,89","0,02",40,"0,9",K7.0
305,203124214,C2,7.985,0.005,LS,?,0.1,0.035,1170.01,73.04,0,---,C2,"10,34","4,49","0,05","0,71","0,02",0.72,"0,02",4033,90,"-0,88","0,03","39,8","1,1",K7.0
357,218790299,C7,0.902,0.117,LS,Y,0.171,0.036,1440.42,149.75,4,0.049,C7,"10,72","4,5","0,08","0,71","0,03",0.72,"0,02",4081,95,"-0,88","0,04","43,5","1,7",K7.0
1,229149393,C10,8.389,0.083,LS,Y,0.199,0.028,559.01,74.27,0,---,C10,"11,41","4,55","0,09","0,7","0,03",0.71,"0,02",4006,92,"-0,91","0,04","63,4","2,8",K7.0
108,211456957,C16,38.409,0.24,LS,Y,0.802,0.226,2555.51,45.98,0,---,C16,"10,44","4,56","0,06","0,7","0,02",0.71,"0,02",3994,83,"-0,91","0,03","40,6","1,2",K7.0
130,210502828,C4,34.044,0.241,LS,?,0.374,0.101,1799.34,44.69,0,---,C4,"11,15","4,57","0,1","0,69","0,03",0.71,"0,02",4012,91,"-0,92","0,04","53,9","2,5",K7.0
183,212038542,C16,26.023,0.368,LS,Y,0.262,0.142,742.6,57.61,0,---,C16,"11,4","4,54","0,07","0,7","0,02",0.71,"0,02",4033,87,"-0,9","0,03","62,7","2,2",K7.0
