dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,table1_oid,kic,kpmag,q,teff,e_teff,e_teff_2,logg,e_logg,e_logg_2,mass,e_mass,e_mass_2,prot,e_prot,sph,e_sph,fl1,dmk,fl2,fl3,fl4,fl5,m17,simbad,col_ra,col_de,mass_corrigida
"0,000124346082302","1,6357214584098E+018",Gaia DR2 2103499991732546176,"2,10349999173255E+018",1516789674,"2015,5","283,795281526728","1,84153161248911","39,966399200653","2,29656507042281",,,,,,,,"-0,0016930667",,,,,,,,,,78,0,78,0,"100,5537",20465746,"12,0020823454906","1452,97087715571",3,false,"0,0067842854",,,"0,09448173",21,15,"5,411215",0,28,false,244,"2525,99454725296","30,1316035047428","83,83206","17,182285",27,"3446,15955399358","50,0119091914524","68,90678","16,508049",28,"7108,63976334173","53,5271800975179","132,8043","15,132454","4,1784725",0,"1,3755951","-0,6742363","2,0498314",,,0,,,,NOT_AVAILABLE,"69,9280209757709","16,3650129417046","293,152182446921","62,3013340778594",,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2103499991732546176,184,4814005,10589,10-16,2661,0,0,5283,0,0,94,0,0,24.2,"1,88",686.2,"21,5",,,,,,0,M17,Simbad,"283,79532","39,96652",0.094
"7,48777111199971E-05","1,6357214584098E+018",Gaia DR2 2128116236009301376,"2,1281162360093E+018",719826892,"2015,5","293,994477530915","0,28644775556828","46,2518274685132","0,309464068178321","2,82055903481677","0,330294613224619","8,539525","2,56251604574554","0,709144802280395","1,77901649984272","0,623809015413495","0,0002779253","-0,23850548","0,09164635","0,24497773","0,3055796","0,22336027","-0,08873695","-0,088958725","-0,08205918","0,15883577",203,0,196,7,"49,949802","3770,3496","2,59926484788074","154,393129161223",31,false,"0,13396788","1,19116793668331","0,066667498713474","-0,09643158",23,12,"0,64838487",0,26,false,193,"2271,46425668033","13,6535027086302","166,36494","17,297602",24,"523,928825245654","10,4053175871856","50,352028","18,553207",24,"3881,41822276993","28,862841321707","134,47804","15,789444","1,9394305",0,"2,7637634","1,2556057","1,5081577",,,0,,,,NOT_AVAILABLE,"78,9819453346635","12,1543504459417","313,894781539856","66,073397700696",,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2128116236009301376,946,9593432,17631, 6-14,2745,0,0,5264,0,0,98,0,0,1.19,"0,08",3064.7,"627,3",,,,,,2,M17,Simbad,"293,99438","46,25186",0.098
"0,000130611283412","1,6357214584098E+018",Gaia DR2 2128116236009301504,"2,1281162360093E+018",1463726758,"2015,5","293,994199249393","0,179021108774093","46,2518220855579","0,353613204260677","3,642020439226","0,242196494080472","15,037461","0,837172889464129","0,60210719072686","5,90021844844561","1,0820105160891","-0,34039187","0,015101372","0,26579714","-0,15516916","0,30875322","-0,025235524","0,044653673","0,13807638","-0,0812729","-0,67781824",107,9,107,0,"3,8946252","167,42183","0,633844341437251","2,14980193256335",31,false,"0,5219466","1,27543673573542","0,050476271765435","-0,08293591",12,8,"0,96506715",0,16,true,114,"915,837296350759","2,9830972405038","307,00885","18,28382",0,,,,,0,,,,,,0,,,,,,0,,,,NOT_AVAILABLE,"78,9818519270941","12,1545199147149","313,894341146339","66,0734695122506",,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2128116236009301504,946,9593432,17631, 6-14,2745,0,0,5264,0,0,98,0,0,1.19,"0,08",3064.7,"627,3",,,,,,2,M17,Simbad,"293,99438","46,25186",0.098
"0,000122472649078","1,6357214584098E+018",Gaia DR2 2132155773013234432,"2,13215577301323E+018",1690391463,"2015,5","285,443009088559","0,04759495662432","49,9655563641091","0,063008102152943","10,295118527397","0,062088176194455","165,81448","20,7372069742684","0,100557360376708","-15,616427272696","0,098668058921473","0,11723303","0,08022488","-0,039555993","-0,07945354","0,54428554","-0,18363138","-0,23503965","-0,20579688","-0,088032715","0,14420658",211,0,211,0,"7,350103","393,0785","0,341763745765779","6,8810239061676",31,false,"3,803558","1,28425595193579","0,015017916836495","0,05824254",24,15,"0,10385974",0,27,false,238,"6489,47536191708","5,1830144624676","1252,0658","16,157843",24,"1051,24103513487","13,318154545527","78,93294","17,797132",24,"8642,11803821097","18,1519929506172","476,09747","14,920369","1,4937046",0,"2,8767633","1,6392899","1,2374735",,,0,,,,NOT_AVAILABLE,"80,1610881112701","18,8639713303751","302,945951302615","71,6422866794124",100001,"3595,79",3197,"3937,5452",225,"0,1864",471,134,"0,1183",276,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2132155773013234432,1455,11752690,"16,28", 9- 9,3212,32,19,5289,9,171,106,57,3,3.94,"0,27",5466.4,"394,5",,,0,0,,0,M17,Simbad,"285,44287","49,96564",0.106
"3,08913265893061E-05","1,6357214584098E+018",Gaia DR2 2106625731492289280,"2,10662573149229E+018",747268707,"2015,5","284,177076303253","0,067081370334465","44,426869301828","0,073747609431802","5,37603041971275","0,076651040188414","70,13643","-6,66337803717649","0,144179981653886","9,57997847202408","0,144645510494186","-0,05008954","-0,36558348","-0,19319275","-0,16366257","0,22153382","-0,19856414","-0,25879404","0,00010005873","-0,0030935642","0,09120508",200,0,199,1,"10,191126","470,73706","0,495778006530689","12,5724244421271",31,false,"2,4126613","1,33013512864018","0,015743363174341","-0,04476677",23,16,"0,14230096",0,26,false,224,"5877,23716476093","5,22615810941091","1124,5808","16,265432",22,"1099,41402827202","12,6623227550658","86,82562","17,748486",23,"7681,82184219984","16,912029725154","454,22235","15,04826","1,4941095",0,"2,7002258","1,4830532","1,2171726",,,0,,,,NOT_AVAILABLE,"74,3789111900255","17,7324833967046","296,113695418777","66,5855407636679",100001,"3904,6667","3324,3333",4535395,756,"0,6782","1,1055","0,4225","0,3535","0,6303",,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2106625731492289280,721,8414250,"16,31", 7- 7,3212,32,19,5289,9,"0,18",106,57,3,0.73,"0,05",7925,1282,,,0,0,,2,M17,Simbad,"284,17709","44,42684",0.106
"7,48348400145573E-05","1,6357214584098E+018",Gaia DR2 2132769815898746752,"2,13276981589875E+018",1069250173,"2015,5","287,572863869808","0,051397886150854","49,6273186102715","0,056896139235662","4,0541590454369","0,05679634593728","71,38063","-10,3177010604524","0,117059855730551","17,1128466421944","0,111195808974117","-0,13376732","0,022598226","-0,09776205","0,025747979","0,2176531","-0,011708105","-0,23166879","-0,11632234","-0,12459331","-0,0058650663",219,0,219,0,"0,6020519","226,00647","0,044106855884893","0,059377654808343",31,false,"3,154985","1,30145846387424","0,01551238952198","-0,037543196",25,15,"0,11100322",0,26,false,224,"3108,59345327742","2,76208235182373","1125,4529","16,956955",23,"631,624623085636","9,05639373350764","69,7435","18,35024",22,"3915,95665550464","18,4772940416905","211,93346","15,779825","1,4629064",0,"2,5704155","1,3932858","1,1771297",,,0,,,,NOT_AVAILABLE,"80,3423972134122","17,4587184058028","306,580131938902","70,8424537794926",100001,"3716,0977",3230,"4485,79","0,3935","0,3249","0,6173","0,2187","0,1807","0,2835",,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2132769815898746752,1419,11603184,16946, 9- 9,3230,38,16,5294,"0,01","0,19",107,65,3,23.21,"1,89",795.1,"99,5",,,0,0,,0,M17,Simbad,"287,57291","49,62725",0.107
"7,84038600224674E-05","1,6357214584098E+018",Gaia DR2 2107264719546088960,"2,10726471954609E+018",1544885191,"2015,5","285,259269301725","0,053185053993636","45,9167572453674","0,057849803898817","4,42986386266101","0,05843081521261","75,81383","2,72908958601934","0,124829909787319","17,8122382797986","0,122454986968603","-0,036823224","-0,007722723","0,050545048","-0,007677534","0,1635985","-0,08992399","-0,34867153","-0,04953524","0,08688537","0,13864547",229,0,229,0,"3,2807188","300,05145","0,251862680589739","2,21517507761497",31,false,"2,9146507","1,35551680595992","0,015255139132735","0,042365126",26,16,"0,12600215",0,29,false,256,"3349,79202624671","2,87776134361051","1164,0271","16,875822",25,"657,517643141692","10,3260751254666","63,675465","18,30662",23,"4217,7777967388","11,2578230220333","374,65305","15,699211","1,4554024",0,"2,6074085","1,4307976","1,176611",,,0,,,,NOT_AVAILABLE,"76,1254621511057","17,554989014661","299,01951762621","67,8246319536988",100001,"3691,2136","3400,3333","4000,38",266,"0,0359","0,5017","0,1853","0,0233","0,2814",,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2107264719546088960,901,9391230,16925, 7- 7,3230,35,16,5294,9,171,107,57,3,37.19,"4,12",3554.3,"247,2",,,0,0,,2,M17,Simbad,"285,25925","45,91668",0.107
"0,000276406176303","1,6357214584098E+018",Gaia DR2 2128477936682717440,"2,12847793668272E+018",33260462,"2015,5","292,302301381983","0,099829466565708","47,6748631332261","0,115153778877671","9,22762353202461","0,120744188070708","76,42292","59,8969042996747","0,219895713393117","65,8765146635244","0,212555783143316","-0,055255502","-0,13572079","-0,12152069","-0,0060647484","0,40685543","-0,05707129","-0,20557402","-0,08895104","-0,106776625","0,0041285227",225,0,223,2,"5,2989416","347,50946","0,574144898169711","4,16586288249457",31,false,"0,872853","1,26322105181747","0,029141326513167","0,04245121",26,17,"0,1977138",0,29,false,245,"1425,53238699277","1,72082892082391","828,3987","17,803423",25,"195,050506587545","5,96990319976652","32,672306","19,62602",26,"2084,89650262893","10,490231174706","198,74648","16,464209","1,5993652",0,"3,1618118","1,8225975","1,3392143",,,0,,,,NOT_AVAILABLE,"79,7746271888569","13,8162136160291","312,642434103318","67,8392959808025",,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2128477936682717440,1177,10471434,18772, 6- 9,2949,0,0,5209,0,0,111,0,0,0.92,"0,06",7639.4,"7639,4",,,,,,0,M17,Simbad,"292,30197","47,6747",0.111
"2,68339570191941E-05","1,6357214584098E+018",Gaia DR2 2132140242411524736,"2,13214024241152E+018",1626480443,"2015,5","285,820625664664","0,039750127805599","49,8279334160171","0,043233378578859","3,04421949819795","0,044639375873754","68,19583","2,62636352693122","0,084991655051831","-9,5449204526708","0,085818360132915","0,03368354","0,24881418","-0,14845568","-0,04133878","0,23173335","-0,094725825","-0,2844059","-0,25586876","-0,09235015","0,09061053",209,0,208,1,"0,8534407","219,98239","0,125999799754633","0,853435122523891",31,false,"5,7949557","1,37621008601857","0,012810220049064","0,08264593",25,16,"0,089399494",0,27,false,224,"5405,92704092615","3,66739484987759",1474051,"16,35619",26,"1423,91282568082","11,5198861916147","123,60477","17,46768",25,"6059,98001163351","12,2788287948781","493,5308","15,305742","1,3843865",0,"2,1619377","1,1114902","1,0504475",,,0,,,,NOT_AVAILABLE,"80,1132790797709","18,5881827132609","303,521637064202","71,4304617967333",100001,"3481,25",3362,"3764,0625","0,1643",128,"0,6611",87,"0,07",308,200111,"0,6469939","0,5534227","0,69370556","0,055390578","0,053573437","0,05720772",https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2132140242411524736,1444,11702468,16429, 9- 9,3362,45,25,5309,26,97,113,25,5,36.94,"3,95",915.2,"83,4",,,0,0,,2,M17,Simbad,"285,82062","49,82796",0.113
"0,000108497202906","1,6357214584098E+018",Gaia DR2 2079084438389849088,"2,07908443838985E+018",1531516557,"2015,5","298,618159997215","0,18184504827509","44,3452162774866","0,200870446082016","1,95970197711827","0,209070072767867","9,373422","9,62806262916759","0,386519131509064","7,45132987241389","0,411451841343614","-0,042822182","0,09258543","-0,21323486","0,02217042","0,16300033","0,018585663","-0,38630775","-0,12542638","-0,075283825","-0,10480785",210,0,208,2,"3,2811987","275,7331","0,827731367386609","2,44050793401275",31,false,"0,29568258","1,22668489761314","0,055984473239373","0,058109187",24,16,"0,38191193",0,27,false,233,"523,810501517978","1,41248836429305","370,84235","18,89043",20,"75,8367537624735","11,9453566515918","6,3486385","20,65169",23,"754,956506025839","8,86835672643932","85,12924","17,567116","1,586057",0,"3,0845737","1,7612591","1,3233147",,,0,,,,NOT_AVAILABLE,"78,8486337180311","8,38753013629575","318,983370580442","63,0011098487535",,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2079084438389849088,715,8387621,19955, 6- 9,2974,0,0,"5,2",0,0,114,0,0,1.45,"0,09",4601.9,"4601,9",,,,,,0,M17,Simbad,"298,61801","44,3452",0.114
